[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SELECT COUNT(*) AS tp_count FROM `ibe_article` LIMIT 1   [ RunTime:0.000182s ]
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `ibe_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000218s ]
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 131 行.
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 134 行.
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SHOW COLUMNS FROM `ibe_bookinfo` [ RunTime:0.007457s ]
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SELECT `book_id`,`book_name`,`book_author`,`owner_id`,`insert_time` FROM `ibe_bookinfo` ORDER BY book_id desc  [ RunTime:0.000279s ]
[ 2015-12-21T19:24:54+08:00 ] /iBE/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 54 行.
